,code,date,news,extract_code,extracted_date
10437,https://www.klsescreener.com/v2/news/stock/0002,"TheEdge14 Mar, 2019 00:37am - 1 week ago","HDC signs MoU with Korean agency to enhance halal bilateral trade, investment",0002,2019-03-14
10438,https://www.klsescreener.com/v2/news/stock/0002,"TheEdge13 Mar, 2019 01:52am - 2 weeks ago",Malaysia's first and biggest-Korean themed retail zone opens in 1 Utama,0002,2019-03-13
9268,https://www.klsescreener.com/v2/news/stock/0005,"TheEdge15 Mar, 2019 13:55pm - 1 week ago","OCK, Ucrest, Orion, Bahvest, Tri-Mode, IWCity, Hiap Teck, Marine & General, Can-One, SeaLink, Tambun Indah, BFood, PCCS, Master-Pack, Uzma, Eden, Taliworks, Sinmah Cap",0005,2019-03-15
13866,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge18 Mar, 2019 12:53pm - 1 week ago","KLCI pares gains, up 0.38% as select blue chips lift",0007,2019-03-18
13860,https://www.klsescreener.com/v2/news/stock/0007,"Sinchew25 Mar, 2019 09:45am - 2 days ago",延续上周走势‧马股早盘低迷,0007,2019-03-25
13861,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge19 Mar, 2019 13:46pm - 1 week ago",投资者情绪转淡 拖累马股回落,0007,2019-03-19
13862,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge19 Mar, 2019 13:00pm - 1 week ago",KLCI retreats as sentiment turns tepid,0007,2019-03-19
13863,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge19 Mar, 2019 10:43am - 1 week ago",马股小幅上升 乏力突破1700点,0007,2019-03-19
13864,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge19 Mar, 2019 10:23am - 1 week ago","KLCI edges up, struggles to breach 1,700 level",0007,2019-03-19
13865,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge18 Mar, 2019 13:33pm - 1 week ago",蓝筹股走高 提振马股小涨0.38%,0007,2019-03-18
13867,https://www.klsescreener.com/v2/news/stock/0007,"TheStar18 Mar, 2019 12:50pm - 1 week ago",KLCI gains on expectations of dovish Fed announcements,0007,2019-03-18
13869,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge18 Mar, 2019 10:20am - 1 week ago","KLCI tracks regional markets, up 0.21% as select blue chips lift",0007,2019-03-18
13870,https://www.klsescreener.com/v2/news/stock/0007,"Sinchew18 Mar, 2019 10:00am - 1 week ago",美股涨带动‧马股开盘走高,0007,2019-03-18
