name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,19-Apr-19,7:11 PM,-,-,-,0.615,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,19-Apr-19,7:11 PM,-,-,-,0.375,0,0.000 / 0,0.405 / 1
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,19-Apr-19,7:11 PM,0.565,0.565,0.565,0.565,108,0.250 / 200,0.565 / 342
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,19-Apr-19,7:11 PM,-,-,-,1.1,0,0.000 / 0,1.210 / 10
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,19-Apr-19,7:11 PM,-,-,-,1.3,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,19-Apr-19,7:11 PM,-,-,-,0.685,0,0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70338,19-Apr-19,7:11 PM,0.37,0.37,0.375,0.375,900,0.375 / 500,0.385 / 500
A50CHIN-C40: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70340,19-Apr-19,7:11 PM,-,-,-,0.45,0,0.440 / 20,0.480 / 20
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,19-Apr-19,7:11 PM,-,-,-,0.035,0,"0.005 / 6,000",0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,19-Apr-19,7:11 PM,-,-,-,0.02,0,"0.005 / 6,000","0.020 / 2,050"
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70329,19-Apr-19,7:11 PM,0.2,0.19,0.205,0.19,979,0.190 / 30,0.195 / 12
ASTRAL ASIA BHD,7054,19-Apr-19,7:11 PM,0.16,0.16,0.16,0.16,12,0.150 / 200,0.160 / 413
AIRASIA X BERHAD,5238,19-Apr-19,7:11 PM,0.23,0.225,0.23,0.23,"20,332","0.225 / 73,258","0.230 / 43,435"
AIRASIA X BERHAD - WARRANTS  A  2015/2020,5238WA,19-Apr-19,7:11 PM,0.035,0.035,0.04,0.04,"15,402","0.035 / 3,700","0.040 / 19,316"
ABF MALAYSIA BOND INDEX FUND,0800EA,19-Apr-19,7:11 PM,-,-,-,1.18,0,"1.175 / 1,000","1.180 / 1,000"
ABLEGROUP BERHAD,7086,19-Apr-19,7:11 PM,-,-,-,0.085,0,0.080 / 100,"0.085 / 2,577"
ALLIANCE BANK MALAYSIA BERHAD,2488,19-Apr-19,7:11 PM,4.01,3.99,4.04,4,"7,698",3.990 / 201,"4.000 / 4,905"
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),2488CY,19-Apr-19,7:11 PM,-,-,-,0.1,0,0.000 / 0,0.000 / 0
ACME HOLDINGS BERHAD,7131,19-Apr-19,7:11 PM,-,-,-,0.3,0,0.255 / 134,0.300 / 46
ACOUSTECH BHD,7120,19-Apr-19,7:11 PM,0.405,0.405,0.405,0.405,"17,336","0.400 / 2,220",0.405 / 363
ADVANCECON HOLDINGS BERHAD,5281,19-Apr-19,7:11 PM,0.425,0.42,0.43,0.425,"26,673",0.425 / 89,"0.430 / 2,347"
ADVENTA BHD,7191,19-Apr-19,7:11 PM,0.36,0.36,0.36,0.36,50,"0.350 / 11,242",0.360 / 59
ADVANCED PACKAGING TECHNOLOGY,9148,19-Apr-19,7:11 PM,-,-,-,1.85,0,2.000 / 5,2.200 / 10
AE MULTI HOLDINGS BHD,7146,19-Apr-19,7:11 PM,-,-,-,0.105,0,"0.100 / 7,717",0.105 / 800
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,7146WA,19-Apr-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.010 / 19,401"
AEMULUS HOLDINGS BERHAD,181,19-Apr-19,7:11 PM,0.225,0.225,0.235,0.225,"9,226","0.225 / 6,068","0.230 / 1,046"
