Unnamed: 0,currency_unit,date_day,buy_rate,sell_rate,middle_rate
0,USD,25 Feb 2019 (Monday),4.0680000000000005,4.073,4.0705
0,USD,26 Feb 2019 (Tuesday),4.07,4.074,4.072
0,USD,27 Feb 2019 (Wednesday),4.064,4.067,4.0655
0,USD,28 Feb 2019 (Thursday),4.069,4.072,4.0705
0,USD,1 Mar 2019 (Friday),4.071,4.075,4.073
0,USD,4 Mar 2019 (Monday),4.074,4.079,4.0765
0,USD,5 Mar 2019 (Tuesday),4.074,4.078,4.076
0,USD,6 Mar 2019 (Wednesday),4.091,4.095,4.093
0,USD,7 Mar 2019 (Thursday),4.086,4.091,4.0885
0,USD,8 Mar 2019 (Friday),4.0889999999999995,4.093,4.091
0,USD,11 Mar 2019 (Monday),4.085,4.09,4.0875
0,USD,12 Mar 2019 (Tuesday),4.08,4.083,4.0815
0,USD,13 Mar 2019 (Wednesday),4.0865,4.0905,4.0885
0,USD,14 Mar 2019 (Thursday),4.088,4.091,4.0895
0,USD,15 Mar 2019 (Friday),4.086,4.09,4.088
0,USD,18 Mar 2019 (Monday),4.074,4.079,4.0765
0,USD,19 Mar 2019 (Tuesday),4.073,4.078,4.0755
0,USD,20 Mar 2019 (Wednesday),4.07,4.073,4.0715
0,USD,21 Mar 2019 (Thursday),4.06,4.065,4.0625
0,USD,22 Mar 2019 (Friday),4.06,4.065,4.0625
0,USD,25 Mar 2019 (Monday),4.068,4.073,4.0705
0,USD,26 Mar 2019 (Tuesday),4.066,4.071,4.0685
0,USD,27 Mar 2019 (Wednesday),4.075,4.08,4.0775
0,USD,28 Mar 2019 (Thursday),4.077,4.081,4.079
0,USD,29 Mar 2019 (Friday),4.083,4.087,4.085
0,USD,1 Apr 2019 (Monday),4.078,4.082,4.08
