"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2019","1,627.44","1,624.12","1,629.42","1,620.93","109.46M","0.33%"
"Apr 22, 2019","1,622.06","1,622.56","1,630.91","1,621.16","118.62M","-0.00%"
"Apr 19, 2019","1,622.07","1,620.64","1,625.22","1,618.69","78.12M","0.14%"
"Apr 18, 2019","1,619.73","1,617.67","1,620.55","1,609.83","142.40M","-0.07%"
"Apr 17, 2019","1,620.90","1,627.07","1,627.77","1,615.53","107.12M","-0.53%"
"Apr 16, 2019","1,629.46","1,631.58","1,635.47","1,626.99","92.84M","-0.11%"
"Apr 15, 2019","1,631.33","1,634.95","1,638.87","1,630.83","75.52M","0.07%"
"Apr 12, 2019","1,630.17","1,624.53","1,631.09","1,623.44","103.88M","0.37%"
"Apr 11, 2019","1,624.23","1,639.33","1,639.33","1,622.45","109.11M","-0.93%"
"Apr 10, 2019","1,639.46","1,641.83","1,642.13","1,635.89","89.49M","-0.15%"
"Apr 09, 2019","1,641.94","1,645.19","1,645.56","1,639.21","101.21M","-0.15%"
"Apr 08, 2019","1,644.35","1,643.67","1,645.72","1,640.38","86.27M","0.15%"
"Apr 05, 2019","1,641.81","1,645.08","1,645.09","1,640.30","67.53M","-0.20%"
"Apr 04, 2019","1,645.07","1,644.01","1,645.61","1,637.57","109.91M","0.11%"
"Apr 03, 2019","1,643.21","1,638.27","1,645.54","1,635.80","83.76M","0.64%"
"Apr 02, 2019","1,632.83","1,633.83","1,639.32","1,630.98","104.63M","0.26%"
"Apr 01, 2019","1,628.66","1,646.43","1,647.59","1,628.44","104.02M","-0.91%"
"Mar 29, 2019","1,643.63","1,648.36","1,649.60","1,639.26","146.45M","0.14%"
"Mar 28, 2019","1,641.33","1,642.90","1,645.21","1,638.69","94.50M","-0.09%"
"Mar 27, 2019","1,642.73","1,649.17","1,650.22","1,641.89","100.60M","-0.44%"
"Mar 26, 2019","1,649.94","1,647.82","1,653.58","1,647.11","107.09M","0.05%"
"Mar 25, 2019","1,649.15","1,652.14","1,654.26","1,648.06","90.35M","-1.05%"
"Mar 22, 2019","1,666.66","1,669.58","1,673.45","1,657.01","99.17M","0.18%"
"Mar 21, 2019","1,663.66","1,687.64","1,689.61","1,663.66","122.64M","-1.22%"
"Mar 20, 2019","1,684.21","1,683.78","1,687.06","1,680.29","96.77M","-0.21%"
"Mar 19, 2019","1,687.68","1,692.48","1,694.89","1,687.68","72.91M","-0.19%"
"Mar 18, 2019","1,690.94","1,681.83","1,690.94","1,681.36","90.65M","0.62%"
"Mar 15, 2019","1,680.54","1,674.59","1,683.25","1,672.60","242.81M","0.36%"
"Mar 14, 2019","1,674.52","1,675.66","1,678.88","1,673.47","111.79M","-0.22%"
"Mar 13, 2019","1,678.24","1,671.13","1,678.24","1,669.92","109.37M","0.42%"
"Mar 12, 2019","1,671.28","1,667.96","1,672.94","1,666.84","103.63M","0.40%"
"Mar 11, 2019","1,664.63","1,680.14","1,680.18","1,664.63","126.19M","-0.91%"
"Mar 08, 2019","1,679.90","1,686.13","1,688.28","1,678.66","114.74M","-0.42%"
"Mar 07, 2019","1,686.95","1,682.33","1,690.23","1,682.33","110.67M","0.01%"
"Mar 06, 2019","1,686.82","1,684.98","1,688.33","1,684.08","124.22M","0.07%"
"Mar 05, 2019","1,685.62","1,682.19","1,691.28","1,682.19","109.52M","-0.49%"
"Mar 04, 2019","1,693.99","1,688.22","1,698.87","1,688.22","101.62M","-0.40%"
"Mar 01, 2019","1,700.76","1,700.45","1,701.05","1,696.71","132.88M","-0.41%"
"Feb 28, 2019","1,707.73","1,715.38","1,717.88","1,706.92","214.74M","-0.33%"
"Feb 27, 2019","1,713.45","1,717.14","1,717.59","1,709.30","120.55M","-0.32%"
"Feb 26, 2019","1,719.00","1,725.57","1,726.00","1,715.15","123.35M","-0.32%"
"Feb 25, 2019","1,724.58","1,722.34","1,724.58","1,717.41","111.66M","0.18%"
