name,code,date,open,low,high,price,volume,Sector_main,sector,change
AIRASIA GROUP BERHAD,5099,2/25/2019,3.13,3.06,3.15,3.07,6375600.0,Main Market,Consumer Products & Services,0.0
AIRASIA GROUP BERHAD,5099,2/26/2019,3.08,3.08,3.11,3.1,3629500.0,Main Market,Consumer Products & Services,0.009771987
AIRASIA GROUP BERHAD,5099,2/27/2019,3.12,3.0,3.12,3.04,11274100.0,Main Market,Consumer Products & Services,-0.019354839
AIRASIA GROUP BERHAD,5099,2/28/2019,2.85,2.75,2.87,2.77,74676700.0,Main Market,Consumer Products & Services,-0.088815789
AIRASIA GROUP BERHAD,5099,3/1/2019,2.77,2.69,2.79,2.74,26015900.0,Main Market,Consumer Products & Services,-0.010830325
AIRASIA GROUP BERHAD,5099,3/4/2019,2.75,2.75,2.84,2.81,14608600.0,Main Market,Consumer Products & Services,0.025547445
AIRASIA GROUP BERHAD,5099,3/5/2019,2.8,2.76,2.82,2.79,10219600.0,Main Market,Consumer Products & Services,-0.007117438
AIRASIA GROUP BERHAD,5099,3/6/2019,2.8,2.78,2.82,2.8,7779000.0,Main Market,Consumer Products & Services,0.0035842290000000004
AIRASIA GROUP BERHAD,5099,3/7/2019,2.8,2.8,2.88,2.83,13683800.0,Main Market,Consumer Products & Services,0.010714286000000002
AIRASIA GROUP BERHAD,5099,3/8/2019,2.84,2.83,2.9,2.87,10360600.0,Main Market,Consumer Products & Services,0.014134276000000001
AIRASIA GROUP BERHAD,5099,3/11/2019,2.76,2.75,2.79,2.77,6888000.0,Main Market,Consumer Products & Services,-0.034843206
AIRASIA GROUP BERHAD,5099,3/12/2019,2.77,2.73,2.79,2.74,4854000.0,Main Market,Consumer Products & Services,-0.010830325
AIRASIA GROUP BERHAD,5099,3/13/2019,2.77,2.74,2.83,2.79,8284600.0,Main Market,Consumer Products & Services,0.018248175
AIRASIA GROUP BERHAD,5099,3/14/2019,2.8,2.76,2.82,2.76,5593800.0,Main Market,Consumer Products & Services,-0.010752688
AIRASIA GROUP BERHAD,5099,3/15/2019,2.78,2.73,2.79,2.79,8984200.0,Main Market,Consumer Products & Services,0.010869565
AIRASIA GROUP BERHAD,5099,3/18/2019,2.8,2.77,2.81,2.79,3230300.0,Main Market,Consumer Products & Services,0.0
AIRASIA GROUP BERHAD,5099,3/19/2019,2.79,2.77,2.87,2.82,9212700.0,Main Market,Consumer Products & Services,0.010752688
AIRASIA GROUP BERHAD,5099,3/20/2019,2.8,2.77,2.81,2.79,4135700.0,Main Market,Consumer Products & Services,-0.010638298000000001
AIRASIA GROUP BERHAD,5099,3/21/2019,2.8,2.76,2.81,2.77,4049800.0,Main Market,Consumer Products & Services,-0.007168459
AIRASIA GROUP BERHAD,5099,3/22/2019,2.8,2.74,2.8,2.79,3998600.0,Main Market,Consumer Products & Services,0.007220216999999999
AIRASIA GROUP BERHAD,5099,3/25/2019,2.74,2.71,2.76,2.71,7800700.0,Main Market,Consumer Products & Services,-0.028673835
AIRASIA GROUP BERHAD,5099,3/26/2019,2.73,2.73,2.75,2.74,3008200.0,Main Market,Consumer Products & Services,0.011070111
AIRASIA GROUP BERHAD,5099,3/27/2019,2.75,2.7,2.75,2.7,2300100.0,Main Market,Consumer Products & Services,-0.01459854
AIRASIA GROUP BERHAD,5099,3/28/2019,2.71,2.69,2.73,2.7,4727000.0,Main Market,Consumer Products & Services,0.0
AIRASIA GROUP BERHAD,5099,3/29/2019,2.71,2.62,2.71,2.66,13900100.0,Main Market,Consumer Products & Services,-0.014814815
AIRASIA GROUP BERHAD,5099,4/1/2019,2.68,2.64,2.68,2.64,6005500.0,Main Market,Consumer Products & Services,-0.007518797
AIRASIA GROUP BERHAD,5099,4/2/2019,2.65,2.64,2.68,2.65,3738400.0,Main Market,Consumer Products & Services,0.003787879
AIRASIA GROUP BERHAD,5099,4/3/2019,2.67,2.65,2.68,2.67,3208400.0,Main Market,Consumer Products & Services,0.00754717
AIRASIA GROUP BERHAD,5099,4/4/2019,2.66,2.65,2.68,2.67,4548500.0,Main Market,Consumer Products & Services,0.0
AIRASIA GROUP BERHAD,5099,4/5/2019,2.68,2.64,2.68,2.65,4045200.0,Main Market,Consumer Products & Services,-0.007490637
AIRASIA GROUP BERHAD,5099,4/8/2019,2.65,2.61,2.68,2.67,6462300.0,Main Market,Consumer Products & Services,0.00754717
AIRASIA GROUP BERHAD,5099,4/9/2019,2.67,2.6,2.67,2.6,9284400.0,Main Market,Consumer Products & Services,-0.026217228
AIRASIA GROUP BERHAD,5099,4/10/2019,2.61,2.52,2.62,2.53,12435600.0,Main Market,Consumer Products & Services,-0.026923077000000004
AIRASIA GROUP BERHAD,5099,4/11/2019,2.54,2.45,2.56,2.47,12700500.0,Main Market,Consumer Products & Services,-0.023715415
AIRASIA GROUP BERHAD,5099,4/12/2019,2.5,2.48,2.52,2.49,5411100.0,Main Market,Consumer Products & Services,0.008097166
AIRASIA GROUP BERHAD,5099,4/15/2019,2.51,2.44,2.51,2.46,7177800.0,Main Market,Consumer Products & Services,-0.012048193
AIRASIA GROUP BERHAD,5099,4/17/2019,2.49,2.45,2.5,2.48,8080500.0,Main Market,Consumer Products & Services,0.008130080999999999
AIRASIA GROUP BERHAD,5099,4/18/2019,2.49,2.42,2.49,2.43,8010300.0,Main Market,Consumer Products & Services,-0.02016129
AIRASIA GROUP BERHAD,5099,4/19/2019,2.45,2.44,2.51,2.5,4727400.0,Main Market,Consumer Products & Services,0.028806584
AIRASIA GROUP BERHAD,5099,4/22/2019,2.5,2.45,2.51,2.47,4565300.0,Main Market,Consumer Products & Services,-0.012
AIRASIA GROUP BERHAD,5099,4/23/2019,2.47,2.46,2.52,2.49,6047600.0,Main Market,Consumer Products & Services,0.008097166
BERJAYA SPORTS TOTO BHD,1562,2/25/2019,2.34,2.32,2.34,2.32,384500.0,Main Market,Consumer Products & Services,0.0
BERJAYA SPORTS TOTO BHD,1562,2/26/2019,2.34,2.3,2.35,2.34,661900.0,Main Market,Consumer Products & Services,0.00862069
BERJAYA SPORTS TOTO BHD,1562,2/27/2019,2.35,2.34,2.36,2.36,568900.0,Main Market,Consumer Products & Services,0.008547009
BERJAYA SPORTS TOTO BHD,1562,2/28/2019,2.37,2.36,2.37,2.36,423900.0,Main Market,Consumer Products & Services,0.0
BERJAYA SPORTS TOTO BHD,1562,3/1/2019,2.36,2.36,2.38,2.37,679100.0,Main Market,Consumer Products & Services,0.004237288
BERJAYA SPORTS TOTO BHD,1562,3/4/2019,2.37,2.36,2.44,2.44,1508400.0,Main Market,Consumer Products & Services,0.029535865
BERJAYA SPORTS TOTO BHD,1562,3/5/2019,2.44,2.4,2.44,2.41,405800.0,Main Market,Consumer Products & Services,-0.012295081999999999
BERJAYA SPORTS TOTO BHD,1562,3/6/2019,2.41,2.38,2.41,2.39,308200.0,Main Market,Consumer Products & Services,-0.008298755
