name,code,date,open,low,high,price,volume,Sector_main,sector,change
MALAYSIA MARINE AND HEAVY ENG,5186,2/25/2019,0.77,0.75,0.77,0.77,147300.0,Main Market,Energy,0.0
MALAYSIA MARINE AND HEAVY ENG,5186,2/26/2019,0.77,0.76,0.77,0.76,557000.0,Main Market,Energy,-0.012987013
MALAYSIA MARINE AND HEAVY ENG,5186,2/27/2019,0.755,0.74,0.76,0.755,650300.0,Main Market,Energy,-0.006578947
MALAYSIA MARINE AND HEAVY ENG,5186,2/28/2019,0.75,0.74,0.75,0.745,365500.0,Main Market,Energy,-0.013245033
MALAYSIA MARINE AND HEAVY ENG,5186,3/1/2019,0.735,0.73,0.755,0.755,1628900.0,Main Market,Energy,0.013422818999999999
MALAYSIA MARINE AND HEAVY ENG,5186,3/4/2019,0.755,0.745,0.76,0.75,378500.0,Main Market,Energy,-0.006622517
MALAYSIA MARINE AND HEAVY ENG,5186,3/5/2019,0.755,0.75,0.765,0.76,166700.0,Main Market,Energy,0.013333333000000001
MALAYSIA MARINE AND HEAVY ENG,5186,3/6/2019,0.76,0.75,0.79,0.79,843900.0,Main Market,Energy,0.039473684
MALAYSIA MARINE AND HEAVY ENG,5186,3/7/2019,0.795,0.78,0.795,0.785,559200.0,Main Market,Energy,-0.006329114
MALAYSIA MARINE AND HEAVY ENG,5186,3/8/2019,0.79,0.75,0.79,0.765,272700.0,Main Market,Energy,-0.025477707000000002
MALAYSIA MARINE AND HEAVY ENG,5186,3/11/2019,0.76,0.75,0.76,0.75,268100.0,Main Market,Energy,-0.019607843
MALAYSIA MARINE AND HEAVY ENG,5186,3/12/2019,0.75,0.75,0.78,0.77,207300.0,Main Market,Energy,0.026666667
MALAYSIA MARINE AND HEAVY ENG,5186,3/13/2019,0.77,0.77,0.815,0.81,1480800.0,Main Market,Energy,0.051948052
MALAYSIA MARINE AND HEAVY ENG,5186,3/14/2019,0.82,0.81,0.865,0.855,2214700.0,Main Market,Energy,0.055555556
MALAYSIA MARINE AND HEAVY ENG,5186,3/15/2019,0.855,0.83,0.86,0.84,693300.0,Main Market,Energy,-0.01754386
MALAYSIA MARINE AND HEAVY ENG,5186,3/18/2019,0.85,0.825,0.86,0.83,636400.0,Main Market,Energy,-0.011904762
MALAYSIA MARINE AND HEAVY ENG,5186,3/19/2019,0.79,0.77,0.805,0.785,1873300.0,Main Market,Energy,-0.054216867
MALAYSIA MARINE AND HEAVY ENG,5186,3/20/2019,0.79,0.77,0.865,0.85,1289800.0,Main Market,Energy,0.082802548
MALAYSIA MARINE AND HEAVY ENG,5186,3/21/2019,0.835,0.8,0.84,0.81,475300.0,Main Market,Energy,-0.047058824000000006
MALAYSIA MARINE AND HEAVY ENG,5186,3/22/2019,0.805,0.795,0.805,0.8,426600.0,Main Market,Energy,-0.012345678999999998
MALAYSIA MARINE AND HEAVY ENG,5186,3/25/2019,0.8,0.785,0.8,0.8,641100.0,Main Market,Energy,0.0
MALAYSIA MARINE AND HEAVY ENG,5186,3/26/2019,0.805,0.79,0.81,0.79,471600.0,Main Market,Energy,-0.0125
MALAYSIA MARINE AND HEAVY ENG,5186,3/27/2019,0.8,0.795,0.805,0.8,535000.0,Main Market,Energy,0.012658228
MALAYSIA MARINE AND HEAVY ENG,5186,3/28/2019,0.8,0.79,0.8,0.8,266900.0,Main Market,Energy,0.0
MALAYSIA MARINE AND HEAVY ENG,5186,3/29/2019,0.795,0.795,0.81,0.81,257200.0,Main Market,Energy,0.0125
MALAYSIA MARINE AND HEAVY ENG,5186,4/1/2019,0.805,0.805,0.815,0.815,187800.0,Main Market,Energy,0.00617284
MALAYSIA MARINE AND HEAVY ENG,5186,4/2/2019,0.82,0.815,0.83,0.825,368400.0,Main Market,Energy,0.012269938999999999
MALAYSIA MARINE AND HEAVY ENG,5186,4/3/2019,0.83,0.825,0.835,0.835,466500.0,Main Market,Energy,0.012121212
MALAYSIA MARINE AND HEAVY ENG,5186,4/4/2019,0.83,0.815,0.83,0.815,240300.0,Main Market,Energy,-0.023952096000000003
MALAYSIA MARINE AND HEAVY ENG,5186,4/5/2019,0.825,0.805,0.825,0.81,200000.0,Main Market,Energy,-0.0061349690000000005
MALAYSIA MARINE AND HEAVY ENG,5186,4/8/2019,0.805,0.8,0.815,0.8,1567200.0,Main Market,Energy,-0.012345678999999998
MALAYSIA MARINE AND HEAVY ENG,5186,4/9/2019,0.815,0.8,0.83,0.8,713500.0,Main Market,Energy,0.0
MALAYSIA MARINE AND HEAVY ENG,5186,4/10/2019,0.8,0.795,0.805,0.8,707500.0,Main Market,Energy,0.0
MALAYSIA MARINE AND HEAVY ENG,5186,4/11/2019,0.85,0.81,0.86,0.815,2643500.0,Main Market,Energy,0.01875
MALAYSIA MARINE AND HEAVY ENG,5186,4/12/2019,0.815,0.805,0.82,0.805,334000.0,Main Market,Energy,-0.012269938999999999
MALAYSIA MARINE AND HEAVY ENG,5186,4/15/2019,0.815,0.79,0.815,0.795,527600.0,Main Market,Energy,-0.01242236
MALAYSIA MARINE AND HEAVY ENG,5186,4/17/2019,0.8,0.785,0.8,0.785,490900.0,Main Market,Energy,-0.012578616
MALAYSIA MARINE AND HEAVY ENG,5186,4/18/2019,0.785,0.785,0.8,0.8,467500.0,Main Market,Energy,0.01910828
MALAYSIA MARINE AND HEAVY ENG,5186,4/19/2019,0.8,0.785,0.8,0.8,192300.0,Main Market,Energy,0.0
MALAYSIA MARINE AND HEAVY ENG,5186,4/22/2019,0.8,0.795,0.81,0.8,222300.0,Main Market,Energy,0.0
MALAYSIA MARINE AND HEAVY ENG,5186,4/23/2019,0.81,0.8,0.825,0.8,158500.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,2/25/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,2/26/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,2/27/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,2/28/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/1/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/4/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/5/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/6/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/7/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/8/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/11/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/12/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/13/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/14/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/15/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/18/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/19/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/20/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/21/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/22/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/25/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/26/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/27/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/28/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,3/29/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/1/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/2/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/3/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/4/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/5/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/8/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/9/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/10/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/11/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/12/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/15/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/17/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/18/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/19/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/22/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
PERISAI PETROLEUM TEKNOLOGI,47,4/23/2019,0.0,0.0,0.0,0.005,0.0,Main Market,Energy,0.0
