name,code,date,open,low,high,price,volume,Sector_main,sector,change
CIMB GROUP HOLDINGS BERHAD,1023,2/25/2019,5.85,5.8,5.85,5.84,12861400.0,Main Market,Financial Services,0.0
CIMB GROUP HOLDINGS BERHAD,1023,2/26/2019,5.84,5.83,5.88,5.88,8158300.0,Main Market,Financial Services,0.006849315
CIMB GROUP HOLDINGS BERHAD,1023,2/27/2019,5.88,5.84,5.89,5.86,7619500.0,Main Market,Financial Services,-0.003401361
CIMB GROUP HOLDINGS BERHAD,1023,2/28/2019,5.86,5.82,5.87,5.85,20809000.0,Main Market,Financial Services,-0.001706485
CIMB GROUP HOLDINGS BERHAD,1023,3/1/2019,5.84,5.65,5.85,5.68,19454300.0,Main Market,Financial Services,-0.029059829
CIMB GROUP HOLDINGS BERHAD,1023,3/4/2019,5.62,5.62,5.69,5.64,9008100.0,Main Market,Financial Services,-0.007042254
CIMB GROUP HOLDINGS BERHAD,1023,3/5/2019,5.62,5.59,5.66,5.59,11373000.0,Main Market,Financial Services,-0.008865248000000001
CIMB GROUP HOLDINGS BERHAD,1023,3/6/2019,5.62,5.51,5.63,5.52,14276600.0,Main Market,Financial Services,-0.012522361000000001
CIMB GROUP HOLDINGS BERHAD,1023,3/7/2019,5.5,5.45,5.53,5.45,14502300.0,Main Market,Financial Services,-0.012681159
CIMB GROUP HOLDINGS BERHAD,1023,3/8/2019,5.47,5.38,5.49,5.39,13433700.0,Main Market,Financial Services,-0.011009173999999998
CIMB GROUP HOLDINGS BERHAD,1023,3/11/2019,5.42,5.28,5.44,5.28,9575500.0,Main Market,Financial Services,-0.020408163
CIMB GROUP HOLDINGS BERHAD,1023,3/12/2019,5.3,5.29,5.39,5.37,14225600.0,Main Market,Financial Services,0.017045455
CIMB GROUP HOLDINGS BERHAD,1023,3/13/2019,5.39,5.38,5.47,5.45,11804600.0,Main Market,Financial Services,0.014897579
CIMB GROUP HOLDINGS BERHAD,1023,3/14/2019,5.47,5.45,5.5,5.47,8977500.0,Main Market,Financial Services,0.003669725
CIMB GROUP HOLDINGS BERHAD,1023,3/15/2019,5.48,5.46,5.52,5.48,13994900.0,Main Market,Financial Services,0.001828154
CIMB GROUP HOLDINGS BERHAD,1023,3/18/2019,5.49,5.45,5.51,5.48,10362900.0,Main Market,Financial Services,0.0
CIMB GROUP HOLDINGS BERHAD,1023,3/19/2019,5.49,5.45,5.5,5.47,10348500.0,Main Market,Financial Services,-0.001824818
CIMB GROUP HOLDINGS BERHAD,1023,3/20/2019,5.47,5.38,5.48,5.39,13273000.0,Main Market,Financial Services,-0.014625228999999998
CIMB GROUP HOLDINGS BERHAD,1023,3/21/2019,5.4,5.31,5.46,5.33,16820100.0,Main Market,Financial Services,-0.011131725
CIMB GROUP HOLDINGS BERHAD,1023,3/22/2019,5.38,5.31,5.38,5.33,10230500.0,Main Market,Financial Services,0.0
CIMB GROUP HOLDINGS BERHAD,1023,3/25/2019,5.17,5.1,5.22,5.12,13937300.0,Main Market,Financial Services,-0.039399625
CIMB GROUP HOLDINGS BERHAD,1023,3/26/2019,5.14,5.09,5.2,5.12,15074700.0,Main Market,Financial Services,0.0
CIMB GROUP HOLDINGS BERHAD,1023,3/27/2019,5.13,5.04,5.15,5.07,17238700.0,Main Market,Financial Services,-0.009765625
CIMB GROUP HOLDINGS BERHAD,1023,3/28/2019,5.07,5.07,5.14,5.11,12355900.0,Main Market,Financial Services,0.007889545999999999
CIMB GROUP HOLDINGS BERHAD,1023,3/29/2019,5.13,5.11,5.19,5.15,12417500.0,Main Market,Financial Services,0.007827789
CIMB GROUP HOLDINGS BERHAD,1023,4/1/2019,5.15,5.08,5.17,5.08,9599200.0,Main Market,Financial Services,-0.013592233
CIMB GROUP HOLDINGS BERHAD,1023,4/2/2019,5.1,5.09,5.13,5.12,7280700.0,Main Market,Financial Services,0.007874016
CIMB GROUP HOLDINGS BERHAD,1023,4/3/2019,5.12,5.09,5.14,5.12,4853400.0,Main Market,Financial Services,0.0
CIMB GROUP HOLDINGS BERHAD,1023,4/4/2019,5.12,5.08,5.14,5.1,5893700.0,Main Market,Financial Services,-0.00390625
CIMB GROUP HOLDINGS BERHAD,1023,4/5/2019,5.1,5.1,5.13,5.11,2330800.0,Main Market,Financial Services,0.001960784
CIMB GROUP HOLDINGS BERHAD,1023,4/8/2019,5.1,5.08,5.12,5.09,7378400.0,Main Market,Financial Services,-0.003913894
CIMB GROUP HOLDINGS BERHAD,1023,4/9/2019,5.1,5.07,5.11,5.09,12074500.0,Main Market,Financial Services,0.0
CIMB GROUP HOLDINGS BERHAD,1023,4/10/2019,5.09,5.06,5.1,5.08,3525600.0,Main Market,Financial Services,-0.001964637
CIMB GROUP HOLDINGS BERHAD,1023,4/11/2019,5.08,5.06,5.12,5.06,7562100.0,Main Market,Financial Services,-0.003937008
CIMB GROUP HOLDINGS BERHAD,1023,4/12/2019,5.07,5.06,5.08,5.06,3507200.0,Main Market,Financial Services,0.0
CIMB GROUP HOLDINGS BERHAD,1023,4/15/2019,5.07,5.06,5.13,5.06,3695800.0,Main Market,Financial Services,0.0
CIMB GROUP HOLDINGS BERHAD,1023,4/17/2019,5.06,5.01,5.07,5.05,6761600.0,Main Market,Financial Services,-0.001976285
CIMB GROUP HOLDINGS BERHAD,1023,4/18/2019,5.01,5.0,5.08,5.06,4951100.0,Main Market,Financial Services,0.001980198
CIMB GROUP HOLDINGS BERHAD,1023,4/19/2019,5.06,5.05,5.09,5.07,1273800.0,Main Market,Financial Services,0.001976285
CIMB GROUP HOLDINGS BERHAD,1023,4/22/2019,5.09,5.09,5.2,5.17,14950200.0,Main Market,Financial Services,0.019723866
CIMB GROUP HOLDINGS BERHAD,1023,4/23/2019,5.18,5.16,5.22,5.17,11821500.0,Main Market,Financial Services,0.0
MALAYAN BANKING BHD,1155,2/25/2019,9.56,9.51,9.57,9.54,6367500.0,Main Market,Financial Services,0.0
MALAYAN BANKING BHD,1155,2/26/2019,9.56,9.53,9.59,9.55,22189000.0,Main Market,Financial Services,0.001048218
MALAYAN BANKING BHD,1155,2/27/2019,9.58,9.56,9.61,9.58,21037600.0,Main Market,Financial Services,0.0031413609999999996
MALAYAN BANKING BHD,1155,2/28/2019,9.59,9.53,9.63,9.53,15941400.0,Main Market,Financial Services,-0.005219207
MALAYAN BANKING BHD,1155,3/1/2019,9.58,9.51,9.58,9.53,15994500.0,Main Market,Financial Services,0.0
MALAYAN BANKING BHD,1155,3/4/2019,9.5,9.5,9.66,9.54,6557100.0,Main Market,Financial Services,0.001049318
MALAYAN BANKING BHD,1155,3/5/2019,9.53,9.53,9.58,9.53,5966300.0,Main Market,Financial Services,-0.001048218
MALAYAN BANKING BHD,1155,3/6/2019,9.56,9.53,9.57,9.54,6942400.0,Main Market,Financial Services,0.001049318
MALAYAN BANKING BHD,1155,3/7/2019,9.52,9.52,9.6,9.53,9143700.0,Main Market,Financial Services,-0.001048218
MALAYAN BANKING BHD,1155,3/8/2019,9.53,9.51,9.58,9.53,10002800.0,Main Market,Financial Services,0.0
MALAYAN BANKING BHD,1155,3/11/2019,9.53,9.47,9.54,9.47,5990100.0,Main Market,Financial Services,-0.006295908
MALAYAN BANKING BHD,1155,3/12/2019,9.48,9.47,9.54,9.49,6559600.0,Main Market,Financial Services,0.002111932
MALAYAN BANKING BHD,1155,3/13/2019,9.49,9.47,9.55,9.55,9008800.0,Main Market,Financial Services,0.006322445
MALAYAN BANKING BHD,1155,3/14/2019,9.55,9.47,9.55,9.49,6027100.0,Main Market,Financial Services,-0.0062827230000000005
MALAYAN BANKING BHD,1155,3/15/2019,9.54,9.47,9.55,9.47,12406200.0,Main Market,Financial Services,-0.002107482
MALAYAN BANKING BHD,1155,3/18/2019,9.5,9.48,9.52,9.49,4201000.0,Main Market,Financial Services,0.002111932
MALAYAN BANKING BHD,1155,3/19/2019,9.49,9.47,9.5,9.48,7331600.0,Main Market,Financial Services,-0.001053741
MALAYAN BANKING BHD,1155,3/20/2019,9.47,9.44,9.5,9.47,4191400.0,Main Market,Financial Services,-0.001054852
MALAYAN BANKING BHD,1155,3/21/2019,9.48,9.3,9.48,9.4,10787700.0,Main Market,Financial Services,-0.007391763000000001
MALAYAN BANKING BHD,1155,3/22/2019,9.43,9.26,9.44,9.29,9647000.0,Main Market,Financial Services,-0.011702128000000001
MALAYAN BANKING BHD,1155,3/25/2019,9.25,9.22,9.29,9.23,8178600.0,Main Market,Financial Services,-0.0064585580000000005
MALAYAN BANKING BHD,1155,3/26/2019,9.23,9.23,9.3,9.25,13549500.0,Main Market,Financial Services,0.002166847
MALAYAN BANKING BHD,1155,3/27/2019,9.3,9.25,9.31,9.26,7538900.0,Main Market,Financial Services,0.001081081
MALAYAN BANKING BHD,1155,3/28/2019,9.26,9.25,9.3,9.26,10758500.0,Main Market,Financial Services,0.0
MALAYAN BANKING BHD,1155,3/29/2019,9.28,9.23,9.29,9.27,12308600.0,Main Market,Financial Services,0.001079914
MALAYAN BANKING BHD,1155,4/1/2019,9.28,9.19,9.29,9.2,10000300.0,Main Market,Financial Services,-0.007551240999999999
MALAYAN BANKING BHD,1155,4/2/2019,9.27,9.22,9.29,9.25,9275600.0,Main Market,Financial Services,0.005434783
MALAYAN BANKING BHD,1155,4/3/2019,9.29,9.24,9.29,9.24,8129100.0,Main Market,Financial Services,-0.001081081
MALAYAN BANKING BHD,1155,4/4/2019,9.24,9.24,9.3,9.27,9263200.0,Main Market,Financial Services,0.003246753
MALAYAN BANKING BHD,1155,4/5/2019,9.26,9.24,9.29,9.26,7886700.0,Main Market,Financial Services,-0.001078749
MALAYAN BANKING BHD,1155,4/8/2019,9.28,9.25,9.29,9.28,5180700.0,Main Market,Financial Services,0.002159827
MALAYAN BANKING BHD,1155,4/9/2019,9.28,9.25,9.3,9.3,9050000.0,Main Market,Financial Services,0.002155172
MALAYAN BANKING BHD,1155,4/10/2019,9.29,9.26,9.3,9.28,7977200.0,Main Market,Financial Services,-0.002150538
MALAYAN BANKING BHD,1155,4/11/2019,9.28,9.26,9.29,9.26,9155000.0,Main Market,Financial Services,-0.002155172
MALAYAN BANKING BHD,1155,4/12/2019,9.26,9.26,9.28,9.27,6399000.0,Main Market,Financial Services,0.001079914
MALAYAN BANKING BHD,1155,4/15/2019,9.27,9.25,9.31,9.25,4277900.0,Main Market,Financial Services,-0.002157497
MALAYAN BANKING BHD,1155,4/17/2019,9.2,8.99,9.2,9.0,19405100.0,Main Market,Financial Services,-0.027027027000000002
MALAYAN BANKING BHD,1155,4/18/2019,8.99,8.75,9.01,8.99,14114900.0,Main Market,Financial Services,-0.0011111110000000001
MALAYAN BANKING BHD,1155,4/19/2019,9.02,9.0,9.11,9.09,4477600.0,Main Market,Financial Services,0.011123471000000001
MALAYAN BANKING BHD,1155,4/22/2019,9.1,9.1,9.19,9.15,6553700.0,Main Market,Financial Services,0.00660066
MALAYAN BANKING BHD,1155,4/23/2019,9.17,9.13,9.17,9.16,5862900.0,Main Market,Financial Services,0.001092896
PUBLIC BANK BHD,1295,2/25/2019,25.0,24.9,25.06,25.02,6146500.0,Main Market,Financial Services,0.0
PUBLIC BANK BHD,1295,2/26/2019,25.02,24.88,25.08,25.06,5844800.0,Main Market,Financial Services,0.001598721
PUBLIC BANK BHD,1295,2/27/2019,25.0,24.98,25.08,25.06,5079200.0,Main Market,Financial Services,0.0
PUBLIC BANK BHD,1295,2/28/2019,25.06,24.94,25.08,25.0,6558400.0,Main Market,Financial Services,-0.0023942539999999997
PUBLIC BANK BHD,1295,3/1/2019,25.04,25.0,25.08,25.02,5292000.0,Main Market,Financial Services,0.0008
PUBLIC BANK BHD,1295,3/4/2019,24.94,24.94,25.04,25.0,4218400.0,Main Market,Financial Services,-0.0007993610000000001
PUBLIC BANK BHD,1295,3/5/2019,24.7,24.56,24.72,24.6,4298900.0,Main Market,Financial Services,-0.016
PUBLIC BANK BHD,1295,3/6/2019,24.66,24.52,24.7,24.52,4934900.0,Main Market,Financial Services,-0.003252033
PUBLIC BANK BHD,1295,3/7/2019,24.46,24.46,24.58,24.54,4730000.0,Main Market,Financial Services,0.0008156610000000001
PUBLIC BANK BHD,1295,3/8/2019,24.56,24.44,24.58,24.5,5347600.0,Main Market,Financial Services,-0.001629992
PUBLIC BANK BHD,1295,3/11/2019,24.48,24.2,24.56,24.2,4985800.0,Main Market,Financial Services,-0.012244898
PUBLIC BANK BHD,1295,3/12/2019,24.26,24.16,24.42,24.4,2707400.0,Main Market,Financial Services,0.008264463
PUBLIC BANK BHD,1295,3/13/2019,24.4,24.38,24.54,24.48,1890400.0,Main Market,Financial Services,0.0032786890000000004
PUBLIC BANK BHD,1295,3/14/2019,24.42,24.42,24.5,24.44,2873700.0,Main Market,Financial Services,-0.0016339870000000002
PUBLIC BANK BHD,1295,3/15/2019,24.44,24.44,24.5,24.48,5356700.0,Main Market,Financial Services,0.001636661
PUBLIC BANK BHD,1295,3/18/2019,24.46,24.44,24.58,24.48,3264000.0,Main Market,Financial Services,0.0
PUBLIC BANK BHD,1295,3/19/2019,24.5,24.44,24.5,24.48,3119400.0,Main Market,Financial Services,0.0
PUBLIC BANK BHD,1295,3/20/2019,24.42,24.42,24.48,24.46,5494700.0,Main Market,Financial Services,-0.000816993
PUBLIC BANK BHD,1295,3/21/2019,24.46,23.8,24.46,23.86,9651300.0,Main Market,Financial Services,-0.024529845
PUBLIC BANK BHD,1295,3/22/2019,23.96,23.8,24.14,23.86,6733000.0,Main Market,Financial Services,0.0
PUBLIC BANK BHD,1295,3/25/2019,23.78,23.7,23.88,23.76,3490100.0,Main Market,Financial Services,-0.004191115
PUBLIC BANK BHD,1295,3/26/2019,23.62,23.62,23.82,23.74,2441500.0,Main Market,Financial Services,-0.0008417510000000001
PUBLIC BANK BHD,1295,3/27/2019,23.74,23.38,23.76,23.4,5775000.0,Main Market,Financial Services,-0.01432182
PUBLIC BANK BHD,1295,3/28/2019,23.4,23.2,23.42,23.28,7277700.0,Main Market,Financial Services,-0.005128205
PUBLIC BANK BHD,1295,3/29/2019,23.24,23.02,23.3,23.16,8971700.0,Main Market,Financial Services,-0.005154639
PUBLIC BANK BHD,1295,4/1/2019,23.26,22.28,23.32,22.48,10289000.0,Main Market,Financial Services,-0.029360967
PUBLIC BANK BHD,1295,4/2/2019,22.5,22.5,22.88,22.7,6859300.0,Main Market,Financial Services,0.009786477
PUBLIC BANK BHD,1295,4/3/2019,22.9,22.82,23.08,23.0,6661000.0,Main Market,Financial Services,0.013215858999999998
PUBLIC BANK BHD,1295,4/4/2019,23.0,22.6,23.1,22.98,7835400.0,Main Market,Financial Services,-0.000869565
PUBLIC BANK BHD,1295,4/5/2019,22.84,22.8,23.0,22.88,6323000.0,Main Market,Financial Services,-0.00435161
