name,code,date,open,low,high,price,volume,Sector_main,sector,change
HARTALEGA HOLDINGS BHD,5168,2/25/2019,5.25,5.23,5.37,5.28,3169700.0,Main Market,Health Care,0.0
HARTALEGA HOLDINGS BHD,5168,2/26/2019,5.3,5.15,5.3,5.16,4629300.0,Main Market,Health Care,-0.022727273
HARTALEGA HOLDINGS BHD,5168,2/27/2019,5.16,5.05,5.17,5.12,4431300.0,Main Market,Health Care,-0.007751938000000001
HARTALEGA HOLDINGS BHD,5168,2/28/2019,5.1,4.98,5.1,5.0,7839200.0,Main Market,Health Care,-0.0234375
HARTALEGA HOLDINGS BHD,5168,3/1/2019,5.0,4.99,5.15,5.14,2481800.0,Main Market,Health Care,0.027999999999999997
HARTALEGA HOLDINGS BHD,5168,3/4/2019,5.07,5.07,5.12,5.1,1483700.0,Main Market,Health Care,-0.007782101
HARTALEGA HOLDINGS BHD,5168,3/5/2019,5.08,4.94,5.12,4.99,5693100.0,Main Market,Health Care,-0.021568627000000003
HARTALEGA HOLDINGS BHD,5168,3/6/2019,4.99,4.93,5.02,4.93,5573800.0,Main Market,Health Care,-0.012024048
HARTALEGA HOLDINGS BHD,5168,3/7/2019,4.93,4.93,5.03,4.96,3148500.0,Main Market,Health Care,0.006085193000000001
HARTALEGA HOLDINGS BHD,5168,3/8/2019,5.0,4.95,5.03,4.99,2569700.0,Main Market,Health Care,0.006048387
HARTALEGA HOLDINGS BHD,5168,3/11/2019,4.99,4.75,4.99,4.75,14581100.0,Main Market,Health Care,-0.048096192
HARTALEGA HOLDINGS BHD,5168,3/12/2019,4.75,4.7,4.77,4.71,6437400.0,Main Market,Health Care,-0.008421053000000001
HARTALEGA HOLDINGS BHD,5168,3/13/2019,4.71,4.54,4.71,4.57,8027700.0,Main Market,Health Care,-0.029723992
HARTALEGA HOLDINGS BHD,5168,3/14/2019,4.57,4.55,4.7,4.62,7171500.0,Main Market,Health Care,0.010940918999999999
HARTALEGA HOLDINGS BHD,5168,3/15/2019,4.68,4.63,4.76,4.76,7286500.0,Main Market,Health Care,0.03030303
HARTALEGA HOLDINGS BHD,5168,3/18/2019,4.8,4.78,4.85,4.83,5150500.0,Main Market,Health Care,0.014705882
HARTALEGA HOLDINGS BHD,5168,3/19/2019,4.83,4.71,4.86,4.75,2942900.0,Main Market,Health Care,-0.016563147
HARTALEGA HOLDINGS BHD,5168,3/20/2019,4.76,4.68,4.82,4.8,3503900.0,Main Market,Health Care,0.010526316
HARTALEGA HOLDINGS BHD,5168,3/21/2019,4.82,4.69,4.84,4.71,3886900.0,Main Market,Health Care,-0.01875
HARTALEGA HOLDINGS BHD,5168,3/22/2019,4.7,4.52,4.72,4.62,4567900.0,Main Market,Health Care,-0.01910828
HARTALEGA HOLDINGS BHD,5168,3/25/2019,4.52,4.52,4.61,4.57,5149300.0,Main Market,Health Care,-0.010822511000000002
HARTALEGA HOLDINGS BHD,5168,3/26/2019,4.58,4.54,4.6,4.55,2982400.0,Main Market,Health Care,-0.004376368
HARTALEGA HOLDINGS BHD,5168,3/27/2019,4.57,4.57,4.74,4.63,5506400.0,Main Market,Health Care,0.017582418
HARTALEGA HOLDINGS BHD,5168,3/28/2019,4.63,4.6,4.64,4.61,5648800.0,Main Market,Health Care,-0.004319654
HARTALEGA HOLDINGS BHD,5168,3/29/2019,4.62,4.61,4.66,4.63,11426200.0,Main Market,Health Care,0.004338395
HARTALEGA HOLDINGS BHD,5168,4/1/2019,4.69,4.65,4.76,4.71,6038400.0,Main Market,Health Care,0.017278618
HARTALEGA HOLDINGS BHD,5168,4/2/2019,4.73,4.71,4.79,4.74,3131800.0,Main Market,Health Care,0.0063694269999999996
HARTALEGA HOLDINGS BHD,5168,4/3/2019,4.76,4.74,4.84,4.82,5768100.0,Main Market,Health Care,0.016877637
HARTALEGA HOLDINGS BHD,5168,4/4/2019,4.84,4.75,4.89,4.79,6639100.0,Main Market,Health Care,-0.0062240659999999995
