name,code,date,open,low,high,price,volume,Sector_main,sector,change
BERJAYA CORPORATION BHD,3395,2/25/2019,0.28,0.275,0.285,0.275,8165900.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,2/26/2019,0.28,0.275,0.28,0.275,3192800.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,2/27/2019,0.275,0.275,0.28,0.275,10606600.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,2/28/2019,0.28,0.27,0.28,0.27,4824700.0,Main Market,Industrial Products & Services,-0.018181818
BERJAYA CORPORATION BHD,3395,3/1/2019,0.275,0.27,0.275,0.27,5534200.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/4/2019,0.275,0.27,0.275,0.27,3017600.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/5/2019,0.27,0.27,0.275,0.27,4745200.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/6/2019,0.27,0.27,0.28,0.275,23385300.0,Main Market,Industrial Products & Services,0.018518519
BERJAYA CORPORATION BHD,3395,3/7/2019,0.28,0.275,0.285,0.28,8815900.0,Main Market,Industrial Products & Services,0.018181818
BERJAYA CORPORATION BHD,3395,3/8/2019,0.28,0.275,0.28,0.275,2649200.0,Main Market,Industrial Products & Services,-0.017857143
BERJAYA CORPORATION BHD,3395,3/11/2019,0.275,0.27,0.28,0.27,7056300.0,Main Market,Industrial Products & Services,-0.018181818
BERJAYA CORPORATION BHD,3395,3/12/2019,0.275,0.27,0.28,0.27,13216300.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/13/2019,0.275,0.265,0.275,0.27,32295000.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/14/2019,0.27,0.265,0.27,0.265,2832000.0,Main Market,Industrial Products & Services,-0.018518519
BERJAYA CORPORATION BHD,3395,3/15/2019,0.27,0.265,0.275,0.275,19870400.0,Main Market,Industrial Products & Services,0.037735849
BERJAYA CORPORATION BHD,3395,3/18/2019,0.27,0.27,0.275,0.27,3725500.0,Main Market,Industrial Products & Services,-0.018181818
BERJAYA CORPORATION BHD,3395,3/19/2019,0.275,0.27,0.275,0.27,5232800.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/20/2019,0.27,0.265,0.275,0.27,18454200.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/21/2019,0.27,0.255,0.275,0.265,49285100.0,Main Market,Industrial Products & Services,-0.018518519
BERJAYA CORPORATION BHD,3395,3/22/2019,0.265,0.245,0.265,0.265,244526300.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/25/2019,0.26,0.255,0.27,0.265,33925600.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/26/2019,0.27,0.26,0.27,0.27,22281100.0,Main Market,Industrial Products & Services,0.018867925
BERJAYA CORPORATION BHD,3395,3/27/2019,0.27,0.255,0.27,0.27,46579400.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/28/2019,0.27,0.26,0.27,0.27,28234500.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,3/29/2019,0.265,0.255,0.27,0.27,72587900.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,4/1/2019,0.27,0.27,0.275,0.275,6536000.0,Main Market,Industrial Products & Services,0.018518519
BERJAYA CORPORATION BHD,3395,4/2/2019,0.27,0.27,0.275,0.27,2857400.0,Main Market,Industrial Products & Services,-0.018181818
BERJAYA CORPORATION BHD,3395,4/3/2019,0.27,0.27,0.275,0.27,4392800.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,4/4/2019,0.275,0.27,0.28,0.275,21170800.0,Main Market,Industrial Products & Services,0.018518519
BERJAYA CORPORATION BHD,3395,4/5/2019,0.275,0.27,0.275,0.27,4817100.0,Main Market,Industrial Products & Services,-0.018181818
BERJAYA CORPORATION BHD,3395,4/8/2019,0.27,0.27,0.275,0.27,10744600.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,4/9/2019,0.27,0.265,0.275,0.27,5272600.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,4/10/2019,0.27,0.265,0.275,0.27,7824300.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,4/11/2019,0.275,0.265,0.275,0.27,8485000.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,4/12/2019,0.27,0.265,0.27,0.27,2830100.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,4/15/2019,0.27,0.265,0.27,0.27,8047100.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,4/17/2019,0.265,0.265,0.27,0.265,10188700.0,Main Market,Industrial Products & Services,-0.018518519
BERJAYA CORPORATION BHD,3395,4/19/2019,0.265,0.265,0.27,0.27,7786900.0,Main Market,Industrial Products & Services,0.018867925
BERJAYA CORPORATION BHD,3395,4/22/2019,0.265,0.265,0.27,0.27,4498600.0,Main Market,Industrial Products & Services,0.0
BERJAYA CORPORATION BHD,3395,4/23/2019,0.27,0.265,0.27,0.265,16986600.0,Main Market,Industrial Products & Services,-0.018518519
DUFU TECHNOLOGY CORP. BHD,7233,2/25/2019,1.84,1.69,1.84,1.69,7427100.0,Main Market,Industrial Products & Services,0.0
DUFU TECHNOLOGY CORP. BHD,7233,2/26/2019,1.67,1.59,1.67,1.63,7390500.0,Main Market,Industrial Products & Services,-0.035502959
DUFU TECHNOLOGY CORP. BHD,7233,2/27/2019,1.73,1.7,1.76,1.73,14553700.0,Main Market,Industrial Products & Services,0.061349693
DUFU TECHNOLOGY CORP. BHD,7233,2/28/2019,1.74,1.64,1.74,1.66,4139000.0,Main Market,Industrial Products & Services,-0.040462427999999995
DUFU TECHNOLOGY CORP. BHD,7233,3/1/2019,1.66,1.65,1.7,1.68,2999500.0,Main Market,Industrial Products & Services,0.012048193
DUFU TECHNOLOGY CORP. BHD,7233,3/4/2019,1.69,1.66,1.7,1.67,1606600.0,Main Market,Industrial Products & Services,-0.005952381
DUFU TECHNOLOGY CORP. BHD,7233,3/5/2019,1.66,1.63,1.66,1.63,2009500.0,Main Market,Industrial Products & Services,-0.023952096000000003
DUFU TECHNOLOGY CORP. BHD,7233,3/6/2019,1.64,1.64,1.67,1.67,1873600.0,Main Market,Industrial Products & Services,0.024539877
DUFU TECHNOLOGY CORP. BHD,7233,3/7/2019,1.66,1.63,1.67,1.63,1329800.0,Main Market,Industrial Products & Services,-0.023952096000000003
DUFU TECHNOLOGY CORP. BHD,7233,3/8/2019,1.63,1.62,1.66,1.63,1366900.0,Main Market,Industrial Products & Services,0.0
DUFU TECHNOLOGY CORP. BHD,7233,3/11/2019,1.63,1.58,1.63,1.58,1762900.0,Main Market,Industrial Products & Services,-0.030674847
DUFU TECHNOLOGY CORP. BHD,7233,3/12/2019,1.61,1.58,1.61,1.59,1412400.0,Main Market,Industrial Products & Services,0.006329114
DUFU TECHNOLOGY CORP. BHD,7233,3/13/2019,1.6,1.52,1.6,1.55,2618700.0,Main Market,Industrial Products & Services,-0.025157232999999998
DUFU TECHNOLOGY CORP. BHD,7233,3/14/2019,1.55,1.52,1.63,1.62,4263400.0,Main Market,Industrial Products & Services,0.04516129
DUFU TECHNOLOGY CORP. BHD,7233,3/15/2019,1.64,1.62,1.67,1.64,2671300.0,Main Market,Industrial Products & Services,0.012345678999999998
DUFU TECHNOLOGY CORP. BHD,7233,3/18/2019,1.67,1.62,1.68,1.62,2103400.0,Main Market,Industrial Products & Services,-0.012195122
DUFU TECHNOLOGY CORP. BHD,7233,3/19/2019,1.63,1.58,1.63,1.59,534700.0,Main Market,Industrial Products & Services,-0.018518519
DUFU TECHNOLOGY CORP. BHD,7233,3/20/2019,1.59,1.58,1.6,1.59,368200.0,Main Market,Industrial Products & Services,0.0
DUFU TECHNOLOGY CORP. BHD,7233,3/21/2019,1.59,1.55,1.59,1.56,941600.0,Main Market,Industrial Products & Services,-0.018867925
DUFU TECHNOLOGY CORP. BHD,7233,3/22/2019,1.58,1.58,1.62,1.59,1202200.0,Main Market,Industrial Products & Services,0.019230768999999998
DUFU TECHNOLOGY CORP. BHD,7233,3/25/2019,1.56,1.55,1.6,1.6,1067700.0,Main Market,Industrial Products & Services,0.006289308
DUFU TECHNOLOGY CORP. BHD,7233,3/26/2019,1.61,1.58,1.62,1.59,421000.0,Main Market,Industrial Products & Services,-0.00625
DUFU TECHNOLOGY CORP. BHD,7233,3/27/2019,1.6,1.6,1.65,1.64,2943300.0,Main Market,Industrial Products & Services,0.031446541
DUFU TECHNOLOGY CORP. BHD,7233,3/28/2019,1.63,1.59,1.63,1.6,1647300.0,Main Market,Industrial Products & Services,-0.024390244
DUFU TECHNOLOGY CORP. BHD,7233,3/29/2019,1.63,1.62,1.7,1.69,4516600.0,Main Market,Industrial Products & Services,0.05625
DUFU TECHNOLOGY CORP. BHD,7233,4/1/2019,1.7,1.65,1.73,1.67,2690900.0,Main Market,Industrial Products & Services,-0.01183432
DUFU TECHNOLOGY CORP. BHD,7233,4/2/2019,1.68,1.66,1.69,1.67,924500.0,Main Market,Industrial Products & Services,0.0
