name,code,date,open,low,high,price,volume,Sector_main,sector,change
JCY INTERNATIONAL BERHAD,5161,2/25/2019,0.225,0.215,0.225,0.22,898800.0,Main Market,Technology,0.0
JCY INTERNATIONAL BERHAD,5161,2/26/2019,0.22,0.205,0.22,0.21,1183200.0,Main Market,Technology,-0.045454545
JCY INTERNATIONAL BERHAD,5161,2/27/2019,0.205,0.2,0.215,0.215,1274800.0,Main Market,Technology,0.023809524
JCY INTERNATIONAL BERHAD,5161,2/28/2019,0.21,0.2,0.21,0.21,826100.0,Main Market,Technology,-0.023255814
JCY INTERNATIONAL BERHAD,5161,3/1/2019,0.21,0.195,0.21,0.205,1869100.0,Main Market,Technology,-0.023809524
JCY INTERNATIONAL BERHAD,5161,3/4/2019,0.205,0.195,0.205,0.205,1473900.0,Main Market,Technology,0.0
JCY INTERNATIONAL BERHAD,5161,3/5/2019,0.2,0.195,0.205,0.2,1481200.0,Main Market,Technology,-0.024390244
JCY INTERNATIONAL BERHAD,5161,3/6/2019,0.2,0.2,0.215,0.21,1587700.0,Main Market,Technology,0.05
JCY INTERNATIONAL BERHAD,5161,3/7/2019,0.21,0.205,0.21,0.205,436700.0,Main Market,Technology,-0.023809524
JCY INTERNATIONAL BERHAD,5161,3/8/2019,0.205,0.205,0.225,0.215,2945200.0,Main Market,Technology,0.048780488
JCY INTERNATIONAL BERHAD,5161,3/11/2019,0.215,0.21,0.22,0.215,1680000.0,Main Market,Technology,0.0
JCY INTERNATIONAL BERHAD,5161,3/12/2019,0.215,0.205,0.215,0.21,271000.0,Main Market,Technology,-0.023255814
JCY INTERNATIONAL BERHAD,5161,3/13/2019,0.235,0.225,0.25,0.23,41487000.0,Main Market,Technology,0.095238095
JCY INTERNATIONAL BERHAD,5161,3/14/2019,0.23,0.22,0.23,0.225,2359000.0,Main Market,Technology,-0.02173913
JCY INTERNATIONAL BERHAD,5161,3/15/2019,0.225,0.22,0.23,0.225,2516900.0,Main Market,Technology,0.0
JCY INTERNATIONAL BERHAD,5161,3/18/2019,0.22,0.22,0.23,0.22,7589300.0,Main Market,Technology,-0.022222222000000003
JCY INTERNATIONAL BERHAD,5161,3/19/2019,0.22,0.2,0.22,0.2,9312100.0,Main Market,Technology,-0.090909091
JCY INTERNATIONAL BERHAD,5161,3/20/2019,0.205,0.205,0.21,0.205,1489600.0,Main Market,Technology,0.025
JCY INTERNATIONAL BERHAD,5161,3/21/2019,0.205,0.2,0.21,0.2,3230900.0,Main Market,Technology,-0.024390244
JCY INTERNATIONAL BERHAD,5161,3/22/2019,0.205,0.205,0.21,0.205,2303900.0,Main Market,Technology,0.025
JCY INTERNATIONAL BERHAD,5161,3/25/2019,0.205,0.195,0.205,0.195,3467200.0,Main Market,Technology,-0.048780488
JCY INTERNATIONAL BERHAD,5161,3/26/2019,0.195,0.195,0.2,0.2,1436400.0,Main Market,Technology,0.025641026
JCY INTERNATIONAL BERHAD,5161,3/27/2019,0.2,0.2,0.205,0.2,577600.0,Main Market,Technology,0.0
JCY INTERNATIONAL BERHAD,5161,3/28/2019,0.2,0.195,0.2,0.2,867000.0,Main Market,Technology,0.0
JCY INTERNATIONAL BERHAD,5161,3/29/2019,0.2,0.2,0.205,0.2,713600.0,Main Market,Technology,0.0
JCY INTERNATIONAL BERHAD,5161,4/1/2019,0.2,0.2,0.205,0.2,655100.0,Main Market,Technology,0.0
JCY INTERNATIONAL BERHAD,5161,4/2/2019,0.2,0.2,0.205,0.205,389400.0,Main Market,Technology,0.025
JCY INTERNATIONAL BERHAD,5161,4/3/2019,0.2,0.2,0.205,0.2,381800.0,Main Market,Technology,-0.024390244
JCY INTERNATIONAL BERHAD,5161,4/4/2019,0.2,0.19,0.205,0.2,3579800.0,Main Market,Technology,0.0
JCY INTERNATIONAL BERHAD,5161,4/5/2019,0.2,0.195,0.2,0.2,1028000.0,Main Market,Technology,0.0
