name,code,date,open,low,high,price,volume,Sector_main,sector,change
ASTRO MALAYSIA HOLDINGS BERHAD,6399,2/25/2019,1.65,1.64,1.67,1.64,4666500.0,Main Market,Telecommunications & Media,0.0
ASTRO MALAYSIA HOLDINGS BERHAD,6399,2/26/2019,1.65,1.62,1.67,1.65,4341000.0,Main Market,Telecommunications & Media,0.006097561
ASTRO MALAYSIA HOLDINGS BERHAD,6399,2/27/2019,1.65,1.63,1.65,1.65,2686400.0,Main Market,Telecommunications & Media,0.0
ASTRO MALAYSIA HOLDINGS BERHAD,6399,2/28/2019,1.65,1.62,1.66,1.64,7532900.0,Main Market,Telecommunications & Media,-0.006060606
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/1/2019,1.64,1.63,1.65,1.64,3235000.0,Main Market,Telecommunications & Media,0.0
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/4/2019,1.64,1.64,1.66,1.65,1911200.0,Main Market,Telecommunications & Media,0.006097561
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/5/2019,1.64,1.64,1.65,1.65,1014800.0,Main Market,Telecommunications & Media,0.0
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/6/2019,1.64,1.6,1.66,1.61,2085000.0,Main Market,Telecommunications & Media,-0.024242424
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/7/2019,1.6,1.57,1.6,1.58,1399700.0,Main Market,Telecommunications & Media,-0.01863354
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/8/2019,1.58,1.58,1.62,1.61,1354900.0,Main Market,Telecommunications & Media,0.018987342
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/11/2019,1.61,1.59,1.62,1.59,124100.0,Main Market,Telecommunications & Media,-0.01242236
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/12/2019,1.58,1.54,1.6,1.54,2176600.0,Main Market,Telecommunications & Media,-0.031446541
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/13/2019,1.55,1.5,1.56,1.52,1683400.0,Main Market,Telecommunications & Media,-0.012987013
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/14/2019,1.52,1.5,1.57,1.54,3214600.0,Main Market,Telecommunications & Media,0.013157895
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/15/2019,1.54,1.53,1.6,1.55,3356000.0,Main Market,Telecommunications & Media,0.006493506
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/18/2019,1.56,1.55,1.6,1.59,798600.0,Main Market,Telecommunications & Media,0.025806452
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/19/2019,1.59,1.58,1.61,1.6,861700.0,Main Market,Telecommunications & Media,0.006289308
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/20/2019,1.61,1.55,1.61,1.58,3238700.0,Main Market,Telecommunications & Media,-0.0125
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/21/2019,1.57,1.55,1.58,1.57,2068800.0,Main Market,Telecommunications & Media,-0.006329114
ASTRO MALAYSIA HOLDINGS BERHAD,6399,3/22/2019,1.55,1.55,1.57,1.55,1601300.0,Main Market,Telecommunications & Media,-0.012738853999999999
