name,code,date,open,low,high,price,volume,Sector_main,sector,change
MALAYSIAN BULK CARRIERS BHD,5077,2/25/2019,0.595,0.59,0.595,0.595,304600.0,Main Market,Transportation & Logistics,0.0
MALAYSIAN BULK CARRIERS BHD,5077,2/26/2019,0.7,0.645,0.715,0.645,10129200.0,Main Market,Transportation & Logistics,0.08403361300000001
MALAYSIAN BULK CARRIERS BHD,5077,2/27/2019,0.645,0.63,0.655,0.635,803500.0,Main Market,Transportation & Logistics,-0.015503876000000002
MALAYSIAN BULK CARRIERS BHD,5077,2/28/2019,0.63,0.605,0.63,0.605,608400.0,Main Market,Transportation & Logistics,-0.047244094
MALAYSIAN BULK CARRIERS BHD,5077,3/1/2019,0.605,0.59,0.645,0.63,1693400.0,Main Market,Transportation & Logistics,0.041322314
MALAYSIAN BULK CARRIERS BHD,5077,3/4/2019,0.635,0.61,0.64,0.615,933900.0,Main Market,Transportation & Logistics,-0.023809524
MALAYSIAN BULK CARRIERS BHD,5077,3/5/2019,0.62,0.605,0.62,0.605,372100.0,Main Market,Transportation & Logistics,-0.016260163
MALAYSIAN BULK CARRIERS BHD,5077,3/6/2019,0.615,0.605,0.625,0.62,458200.0,Main Market,Transportation & Logistics,0.024793388
MALAYSIAN BULK CARRIERS BHD,5077,3/7/2019,0.62,0.61,0.62,0.61,376400.0,Main Market,Transportation & Logistics,-0.016129031999999998
MALAYSIAN BULK CARRIERS BHD,5077,3/8/2019,0.61,0.59,0.61,0.595,1426000.0,Main Market,Transportation & Logistics,-0.024590163999999998
MALAYSIAN BULK CARRIERS BHD,5077,3/11/2019,0.595,0.585,0.595,0.59,779000.0,Main Market,Transportation & Logistics,-0.008403361
MALAYSIAN BULK CARRIERS BHD,5077,3/12/2019,0.595,0.59,0.61,0.6,547800.0,Main Market,Transportation & Logistics,0.016949153
MALAYSIAN BULK CARRIERS BHD,5077,3/13/2019,0.595,0.59,0.595,0.595,230300.0,Main Market,Transportation & Logistics,-0.008333333
MALAYSIAN BULK CARRIERS BHD,5077,3/14/2019,0.595,0.58,0.6,0.59,732900.0,Main Market,Transportation & Logistics,-0.008403361
MALAYSIAN BULK CARRIERS BHD,5077,3/15/2019,0.585,0.575,0.59,0.585,654800.0,Main Market,Transportation & Logistics,-0.008474576
MALAYSIAN BULK CARRIERS BHD,5077,3/18/2019,0.585,0.58,0.59,0.58,327200.0,Main Market,Transportation & Logistics,-0.008547009
MALAYSIAN BULK CARRIERS BHD,5077,3/19/2019,0.595,0.58,0.595,0.585,204700.0,Main Market,Transportation & Logistics,0.00862069
MALAYSIAN BULK CARRIERS BHD,5077,3/20/2019,0.58,0.575,0.585,0.58,386000.0,Main Market,Transportation & Logistics,-0.008547009
MALAYSIAN BULK CARRIERS BHD,5077,3/21/2019,0.57,0.565,0.575,0.575,207200.0,Main Market,Transportation & Logistics,-0.00862069
MALAYSIAN BULK CARRIERS BHD,5077,3/22/2019,0.57,0.555,0.57,0.555,338200.0,Main Market,Transportation & Logistics,-0.034782609
MALAYSIAN BULK CARRIERS BHD,5077,3/25/2019,0.555,0.54,0.555,0.545,218900.0,Main Market,Transportation & Logistics,-0.018018018
MALAYSIAN BULK CARRIERS BHD,5077,3/26/2019,0.545,0.535,0.545,0.54,363900.0,Main Market,Transportation & Logistics,-0.009174311999999999
MALAYSIAN BULK CARRIERS BHD,5077,3/27/2019,0.54,0.535,0.545,0.535,228200.0,Main Market,Transportation & Logistics,-0.009259259
MALAYSIAN BULK CARRIERS BHD,5077,3/28/2019,0.535,0.53,0.545,0.545,99000.0,Main Market,Transportation & Logistics,0.018691588999999998
MALAYSIAN BULK CARRIERS BHD,5077,3/29/2019,0.545,0.53,0.545,0.535,698000.0,Main Market,Transportation & Logistics,-0.018348623999999997
MALAYSIAN BULK CARRIERS BHD,5077,4/1/2019,0.54,0.535,0.54,0.535,330300.0,Main Market,Transportation & Logistics,0.0
MALAYSIAN BULK CARRIERS BHD,5077,4/2/2019,0.535,0.53,0.54,0.535,285900.0,Main Market,Transportation & Logistics,0.0
MALAYSIAN BULK CARRIERS BHD,5077,4/3/2019,0.54,0.54,0.58,0.555,658600.0,Main Market,Transportation & Logistics,0.037383177999999996
MALAYSIAN BULK CARRIERS BHD,5077,4/4/2019,0.56,0.56,0.62,0.62,1478700.0,Main Market,Transportation & Logistics,0.11711711699999999
MALAYSIAN BULK CARRIERS BHD,5077,4/5/2019,0.64,0.59,0.65,0.595,5625900.0,Main Market,Transportation & Logistics,-0.040322581
