name,total assets,total liabilities,total equity,net cash generated from operating activities,net cash generated from investing activities,net cash generated from financing activities,code
BURSA MALAYSIA BERHAD,2434560000.0,1547111000.0,887449000.0,-14300000.0,245205000.0,-274981000.0,1818
ABF Malaysia Bond Index Fund,1476350887.0,58096752.0,1418254135.0,39756854.0,,-32073250.0,0800EA
Amanah Harta Tanah PNB,482781355.0,200616253.0,282165102.0,19914742.0,517732.0,-22319011.0,4952
Amananraya- REIT,1499264735.0,724050981.0,775213754.0,74612430.0,-81167011.0,-155503626.0,5127
Al-`Aqar Healthcare REIT,1551718000.0,608479000.0,943239000.0,42800633.0,147405.0,-48145464.0,5116
AL-SALĀM REIT,1153934355.0,532982224.0,620952131.0,52447520.0,-5509457.0,-48018111.0,5269
LPI Captial Bhd,4240600000.0,2083800000.0,2156800000.0,221865000.0,-13000.0,-253130000.0,8621
Atrium REIT,287584454.0,104981531.0,182602923.0,10021398.0,-7730969.0,-6911232.0,5130
Axis REIT,2840463000.0,1176382000.0,1664081000.0,164193000.0,-270596000.0,92985000.0,5106
CBMB,693661000.0,298830000.0,394831000.0,96001000.0,184191000.0,-272827000.0,
CAPITALAND MALAYSIA MALL TRUST,4143170000.0,1476589000.0,2666581000.0,177991000.0,-31501000.0,-231484000.0,5180
Cypark Resources Berhad,549564171.0,148691477.0,400872694.0,8950817.0,-51649532.0,37702570.0,5184
FTSE Bursa Malaysia KLCI etf,2991782.0,62428.0,2929354.0,30366.0,,-55176.0,0820EA
Hektar REIT,1268272805.0,632957258.0,635315547.0,83590808.0,-26886083.0,-65465783.0,5121
IGB REIT,5202966000.0,1436275000.0,3766691000.0,383561000.0,153489000.0,-469113000.0,5227
KLCC,1977794000.0,1971494000.0,6300000.0,7281000.0,242997000.0,-258524000.0,5235SS
KUMPULAN H&L HIGH-TECH BHD,106473038.0,14374816.0,92098222.0,1533592.0,-1089520.0,-1828833.0,7033
Maybank,456613298000.0,391024031000.0,65589267000.0,14541292000.0,-6865332000.0,-7039599000.0,1155
METFAPA,18497218.0,76482.0,18420736.0,870022.0,,-1096400.0,0826EA
METFSID,70988870.0,146405.0,70842465.0,-28577164.0,,28498800.0,0825EA
MHB,1712329000.0,16328000.0,1696001000.0,62824000.0,-136602000.0,-11828000.0,5186
MRCB Quill REIT,2271705292.0,899415761.0,1372289531.0,105733958.0,-33770977.0,-124334280.0,5123
MYETFDJ,305932553.0,255770.0,305676783.0,4019529.0,,-6129552.0,0821EA
MYETFID,53245915.0,87570.0,53158345.0,-346785.0,,134518.0,0824EA
Mynews,208746000.0,123000.0,208623000.0,-1117000.0,5973000.0,-6822000.0,5275
Pavilion REIT,6357724000.0,2379768000.0,3977956000.0,276359000.0,-517026000.0,326020000.0,5212
Poh Huat Resources Holding Berhad,173095577.0,4491898.0,168603679.0,15410339.0,4189323.0,-12539987.0,7088
SELANGOR PROPERTIES BERHAD,1156692000.0,1060982000.0,95710000.0,-51060000.0,65162000.0,-7652000.0,1783
TRADEPLUS SHARIAH GOLD TRACKER,10364135.0,11803.0,10352332.0,-10541289.0,,10563600.0,0828EA
UOA Real Estate Investment Trust,1052883303.0,324768352.0,728114951.0,43598387.0,118516709.0,-161600397.0,5110
AJIYA BERHAD,109301553.0,345371.0,108956182.0,-967053.0,-15630840.0,-6454251.0,7609.0
AMTEL HOLDINGS BERHAD,37312822.0,6283531.0,31029291.0,1667208.0,1229514.0,4048619.0,7031.0
CIMB,534089000000.0,481501000000.0,,,,,1023.0
AFFIN BANK BERHAD,49130609000.0,41209665000.0,7920944000.0,-8559000.0,-136245000.0,395199000.0,5185.0
ASEAN CATALYST,,,,-19892868.0,4812747.0,16631588.0,
ATURMAJU,12104000.0,752000.0,11352000.0,-816000.0,-806000.0,1625000.0,7181.0
BRITISH AMERICA TOBACCO MALAYSIA,1108385000.0,576443000.0,531942000.0,476104000.0,270000.0,-407178000.0,4162.0
BINA DARULAMAN BERHAD,745010000.0,286348000.0,458662000.0,-32499000.0,-21036000.0,-6725000.0,6173.0
BOUSTEAD HOLDINGS BERHAD,6896900000.0,3243600000.0,3653300000.0,-37000000.0,361900000.0,-169000000.0,2771.0
BOUSTEAD HEAVY INDUSTRIES CORPORATION BERHAD,363472000.0,145708000.0,217764000.0,-39654000.0,-25000.0,34804000.0,8133.0
BOUSTEAD PLANTATIONS BERHAD,3295672000.0,1345478000.0,1950194000.0,83000.0,110557000.0,-72624000.0,5254.0
BINTULU PORT HOLDINGS BERHAD,1058537000.0,21194000.0,1037343000.0,-8458000.0,140293000.0,-82800000.0,5032.0
CYCLE & CARRIAGE BINTANG BERHAD,776528000.0,483221000.0,293307000.0,-10768000.0,-8539000.0,34371000.0,2925.0
CJ CENTURY LOGISTICS HOLDINGS BERHAD,222164000.0,2943000.0,219221000.0,7437000.0,0.0,-7567000.0,7117.0
CAHYA MATA SARAWAK BERHAD,2774750000.0,16622821000.0,1111929000.0,,,,2852.0
NESTLE,595266000.0,1772000.0,593494000.0,641887000.0,2988000.0,-644875000.0,4707.0
COUNTRY VIEW BERHAD,191476000.0,28080000.0,163396000.0,-2329000.0,47251000.0,40575000.0,5049.0
