name,code,date,open,low,high,price,volume,change,sentiment,target
AIRASIA GROUP BERHAD,5099,2019-02-25,3.13,3.06,3.15,3.07,6375600.0,0.0,0.0,hold
AIRASIA GROUP BERHAD,5099,2019-02-26,3.08,3.08,3.11,3.1,3629500.0,0.009771987,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-02-27,3.12,3.0,3.12,3.04,11274100.0,-0.019354839,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-02-28,2.85,2.75,2.87,2.77,74676700.0,-0.088815789,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-03-01,2.77,2.69,2.79,2.74,26015900.0,-0.010830325,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-03-04,2.75,2.75,2.84,2.81,14608600.0,0.025547445,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-05,2.8,2.76,2.82,2.79,10219600.0,-0.007117438,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-03-06,2.8,2.78,2.82,2.8,7779000.0,0.003584229000000001,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-07,2.8,2.8,2.88,2.83,13683800.0,0.010714286000000002,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-08,2.84,2.83,2.9,2.87,10360600.0,0.014134276,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-11,2.76,2.75,2.79,2.77,6888000.0,-0.034843206,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-03-12,2.77,2.73,2.79,2.74,4854000.0,-0.010830325,-1.0,sell
AIRASIA GROUP BERHAD,5099,2019-03-12,2.77,2.73,2.79,2.74,4854000.0,-0.010830325,1.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-13,2.77,2.74,2.83,2.79,8284600.0,0.018248175,-1.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-13,2.77,2.74,2.83,2.79,8284600.0,0.018248175,1.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-14,2.8,2.76,2.82,2.76,5593800.0,-0.010752688,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-03-15,2.78,2.73,2.79,2.79,8984200.0,0.010869565,1.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-15,2.78,2.73,2.79,2.79,8984200.0,0.010869565,1.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-18,2.8,2.77,2.81,2.79,3230300.0,0.0,1.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-19,2.79,2.77,2.87,2.82,9212700.0,0.010752688,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-20,2.8,2.77,2.81,2.79,4135700.0,-0.010638298,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-03-21,2.8,2.76,2.81,2.77,4049800.0,-0.007168459,0.0,sell
